Video_ID,Publish_Date,Video_Category,Audience_Geography,Views,Watch_Hours,Avg_View_Duration_sec,Likes,Comments,Shares,Adsense_Revenue_USD,Sponsor_Brand,Sponsor_Payout_USD,Agency_Fee_Percent,Total_Video_Revenue_USD,Agency_Earnings_USD
VID_56023,2024-02-24,Tech Review,US,40720.0,2616.444258237797,164,4615,355,116,768.5085064691812,No Sponsor,2500.0,20.0,3268.508506469181,500.0
VID_89994,2024-11-03,Tech Review,US,52668.0,3791.193403872199,351,4289,106,42,463.07004166781553,No Sponsor,5000.0,15.0,5463.0700416678155,750.0
VID_91658,2025-05-06,Tech Review,UK,34742.0,1743.1885724527992,309,2744,213,166,680.4214995701473,No Sponsor,0.0,15.0,680.4214995701473,0.0
VID_41194,2024-06-14,Personal Finance,US,49354.0,3016.4490894798646,273,4506,498,172,596.262671978364,DataCamp,0.0,20.0,596.262671978364,0.0
VID_20210,2025-04-14,Personal Finance,Australia,37805.0,2100.379783008587,314,4015,385,55,51.77239814285832,No Sponsor,0.0,0.0,51.77239814285832,0.0
VID_98064,2024-04-27,Data Analytics,US,46367.0,1268.7036660638914,123,3781,324,164,93.81588120859362,NordVPN,5000.0,15.0,5093.815881208594,750.0
VID_33503,2025-08-14,Personal Finance,India,61900.0,2894.1808728626675,130,2542,235,91,238.4685860924032,TechNova,1500.0,15.0,1738.4685860924033,225.0
VID_22035,2024-12-27,Data Analytics,US,34501.0,3932.2919731314632,152,3086,466,119,535.4266763643118,No Sponsor,1500.0,15.0,2035.4266763643118,225.0
VID_25400,2024-03-03,Personal Finance,India,48560.0,1349.013939485292,444,4572,267,194,227.5542071715765,No Sponsor,2500.0,15.0,2727.5542071715763,375.0
VID_17230,2025-05-11,Personal Finance,Australia,26655.0,4268.746029089059,320,2123,338,192,441.8753156012366,No Sponsor,0.0,20.0,441.8753156012366,0.0
VID_78940,2025-04-23,Coding,US,39225.0,3725.1175200874704,131,3075,51,165,599.8905595107188,DataCamp,5000.0,20.0,5599.890559510719,1000.0
VID_89248,2025-06-13,Data Analytics,US,83351.0,3236.5499057561688,390,895,245,79,446.5795086012667,DataCamp,1500.0,20.0,1946.5795086012668,300.0
VID_97849,2025-01-02,Data Analytics,UK,55795.0,2166.004692600942,426,2537,362,104,143.7645156826526,No Sponsor,1500.0,0.0,1643.7645156826525,0.0
VID_78784,2024-06-16,  tech review  ,US,38355.0,3605.089049575431,125,4248,372,159,52.11224532196327,No Sponsor,2500.0,15.0,2552.112245321963,375.0
VID_18525,2024-01-13,Personal Finance,US,26019.0,1938.2477600317727,334,3347,256,147,429.2650315737095,NordVPN,5000.0,15.0,5429.265031573709,750.0
VID_99178,2025-07-17,Personal Finance,India,56896.0,1768.6615822921322,414,1644,196,113,737.8091135815629,TechNova,1500.0,20.0,2237.809113581563,300.0
VID_18126,2025-08-28,Coding,Australia,52309.0,2517.393934164538,424,3376,447,179,315.05996511089467,No Sponsor,0.0,20.0,315.05996511089467,0.0
VID_72547,2025-12-18,AI Tools,US,44708.0,4970.680334195714,173,4010,213,164,273.3329336255267,No Sponsor,0.0,15.0,273.3329336255267,0.0
VID_66256,2025-03-23,Data Analytics,UK,15710.0,1814.9811609810567,130,4487,117,197,440.0788987563214,No Sponsor,2500.0,20.0,2940.0788987563215,500.0
VID_76193,2024-08-08,Data Analytics,US,52587.0,4999.966814635232,177,3232,270,12,102.97467012819496,TechNova,2500.0,20.0,2602.974670128195,500.0
VID_69957,2025-02-19,Tech Review,US,37372.0,2414.126788181164,377,1613,351,152,570.3001625746906,No Sponsor,0.0,0.0,570.3001625746906,0.0
VID_91186,2024-03-26,Personal Finance,US,33079.0,2447.478956345516,467,961,445,93,381.2360929569205,NordVPN,1500.0,0.0,1881.2360929569204,0.0
VID_53275,2025-08-08,  tech review  ,India,75950.0,1719.6443527271354,172,1142,207,155,247.59111366628863,NordVPN,5000.0,15.0,5247.591113666289,750.0
VID_12233,2024-08-30,AI Tools,US,46530.0,4119.081134246495,417,1711,449,82,657.4080316161186,DataCamp,5000.0,15.0,5657.408031616119,750.0
VID_87909,2025-12-02,Data Analytics,US,42875.0,4730.269527803991,170,632,395,144,74.41140412917206,TechNova,5000.0,15.0,5074.411404129172,750.0
VID_19861,2024-04-10,Data Analytics,UK,55815.0,2065.1427911595174,281,592,93,134,743.3065320187069,n8n,0.0,0.0,743.3065320187069,0.0
VID_92643,2024-12-26,Data Analytics,US,71076.0,3913.498396004983,295,3854,114,66,583.0794709639304,No Sponsor,5000.0,0.0,5583.07947096393,0.0
VID_83739,2025-06-20,Tech Review,US,76302.0,2416.4745129961548,237,4978,293,113,727.4607235918585,No Sponsor,2500.0,20.0,3227.4607235918584,500.0
VID_11334,2024-12-23,AI Tools,Australia,68095.0,2797.9136303189616,450,2370,374,143,631.6480677302358,No Sponsor,2500.0,20.0,3131.6480677302357,500.0
VID_68974,2025-10-28,Personal Finance,US,47636.0,2342.692132135021,172,2033,487,151,202.70343641207063,DataCamp,0.0,20.0,202.70343641207063,0.0
VID_77041,2024-07-01,Personal Finance,US,61015.0,1094.1778586740734,317,2958,304,75,749.9604310327093,NordVPN,5000.0,20.0,5749.9604310327095,1000.0
VID_76034,2025-12-29,Data Analytics,US,57529.0,2632.935671272995,413,3540,191,51,74.87550744047098,TechNova,0.0,0.0,74.87550744047098,0.0
VID_85106,2025-01-25,Coding,UK,22731.0,3426.7770837117896,205,3646,474,103,749.6165507387694,No Sponsor,5000.0,20.0,5749.61655073877,1000.0
VID_19706,2025-04-21,Tech Review,US,31536.0,4742.787060378531,393,3580,368,149,526.0836570617244,No Sponsor,5000.0,20.0,5526.083657061725,1000.0
VID_49793,2025-02-09,Coding,US,62290.0,4839.215753450205,384,1821,76,56,508.1479060543133,No Sponsor,0.0,0.0,508.1479060543133,0.0
VID_91495,2024-12-26,AI Tools,US,27800.0,4029.57439093978,194,1451,455,70,67.1670045492632,No Sponsor,5000.0,20.0,5067.167004549263,1000.0
VID_29345,2025-07-23,Data Analytics,US,41783.0,2392.7693056740727,335,1469,185,185,190.84403725556945,No Sponsor,1500.0,20.0,1690.8440372555694,300.0
VID_43172,2025-05-12,Personal Finance,US,52572.0,1798.3011390186834,473,802,470,22,68.02131791854669,NordVPN,1500.0,20.0,1568.0213179185466,300.0
VID_83698,2025-07-13,Data Analytics,US,64599.0,3148.402919109973,480,2266,175,147,717.8319112274622,OpenClaw,2500.0,0.0,3217.831911227462,0.0
VID_31016,2025-07-12,AI Tools,Canada,60289.0,4197.419565843233,258,3568,289,93,425.6128256624994,No Sponsor,5000.0,20.0,5425.6128256625,1000.0
VID_54048,2025-07-25,Coding,US,45417.0,3406.9731713202104,239,1023,477,21,786.3070953211363,DataCamp,0.0,20.0,786.3070953211363,0.0
VID_35023,2024-10-06,Personal Finance,Australia,45237.0,3089.188336181931,338,4295,461,22,750.1412964138416,No Sponsor,2500.0,15.0,3250.1412964138417,375.0
VID_40815,2025-01-17,AI Tools,US,68937.0,3887.0775662150254,460,3873,336,163,270.94292487131,NordVPN,2500.0,20.0,2770.94292487131,500.0
VID_27205,2025-12-25,Personal Finance,Canada,37931.0,3335.8559853852744,307,1255,322,18,224.33959251659115,No Sponsor,2500.0,15.0,2724.339592516591,375.0
VID_13330,2024-04-11,Personal Finance,US,55246.0,2215.3416302896167,436,4092,396,193,541.7269931594474,No Sponsor,1500.0,0.0,2041.7269931594474,0.0
VID_46691,2025-02-25,Coding,US,56692.0,3085.154320938552,312,1222,466,186,484.5459822493684,TechNova,0.0,20.0,484.5459822493684,0.0
VID_64080,2024-06-17,Tech Review,US,66053.0,2241.7447854610327,332,3947,486,66,629.3650593996796,No Sponsor,1500.0,15.0,2129.3650593996795,225.0
VID_20193,2025-11-03,Coding,US,54098.0,1964.6715462003065,133,2378,220,58,427.6977833889266,No Sponsor,5000.0,0.0,5427.697783388927,0.0
VID_38211,2024-06-14,Data Analytics,UK,52556.0,1236.176744387387,465,539,101,105,678.7029701651687,No Sponsor,0.0,0.0,678.7029701651687,0.0
