Video_ID,Publish_Date,Video_Category,Audience_Geography,Views,Watch_Hours,Avg_View_Duration_sec,Likes,Comments,Shares,Adsense_Revenue_USD,Sponsor_Brand,Sponsor_Payout_USD,Agency_Fee_Percent
VID_56023,2024-02-24,Tech Review,US,40720.0,2616.444258237797,164,4615,355,116,768.5085064691812,,2500.0,20.0
VID_89994,2024-11-03,Tech Review,US,52668.0,3791.193403872199,351,4289,106,42,463.07004166781553,,5000.0,15.0
VID_91658,2025-05-06,Tech Review,UK,34742.0,1743.1885724527992,309,2744,213,166,680.4214995701473,,,15.0
VID_41194,2024-06-14,Personal Finance,US,49354.0,3016.4490894798646,273,4506,498,172,596.262671978364,DataCamp,,20.0
VID_20210,2025-04-14,Personal Finance,Australia,37805.0,2100.379783008587,314,4015,385,55,51.772398142858314,,,
VID_98064,2024-04-27,Data Analytics,US,46367.0,1268.7036660638914,123,3781,324,164,93.81588120859362,NordVPN,5000.0,15.0
VID_33503,2025-08-14,Personal Finance,India,61900.0,2894.1808728626675,130,2542,235,91,238.4685860924032,TechNova,1500.0,15.0
VID_22035,2024-12-27,Data Analytics,US,34501.0,3932.2919731314632,152,3086,466,119,535.4266763643118,,1500.0,15.0
VID_25400,2024-03-03,Personal Finance,India,48560.0,1349.013939485292,444,4572,267,194,227.55420717157654,,2500.0,15.0
VID_17230,2025-05-11,Personal Finance,Australia,26655.0,4268.746029089059,320,2123,338,192,441.8753156012366,,,20.0
VID_78940,2025-04-23,Coding,US,39225.0,3725.1175200874704,131,3075,51,165,599.8905595107188,DataCamp,5000.0,20.0
VID_89248,2025-06-13,Data Analytics,US,83351.0,3236.5499057561688,390,895,245,79,446.5795086012667,DataCamp,1500.0,20.0
VID_97849,2025-01-02,Data Analytics,UK,55795.0,2166.004692600942,426,2537,362,104,143.76451568265261,,1500.0,
VID_78784,2024-06-16,  tech review  ,US,38355.0,3605.0890495754306,125,4248,372,159,52.11224532196327,,2500.0,15.0
VID_18525,2024-01-13,Personal Finance,US,26019.0,1938.2477600317732,334,3347,256,147,429.26503157370945,NordVPN,5000.0,15.0
VID_68947,2024-11-13,Tech Review,US,,2638.0653051331087,180,591,268,75,106.76077555923214,NordVPN,2500.0,
VID_99178,2025-07-17,Personal Finance,India,56896.0,1768.6615822921322,414,1644,196,113,737.8091135815629,TechNova,1500.0,20.0
VID_18126,2025-08-28,Coding,Australia,52309.0,2517.393934164538,424,3376,447,179,315.05996511089467,,,20.0
VID_72547,2025-12-18,AI Tools,US,44708.0,4970.680334195714,173,4010,213,164,273.3329336255267,,,15.0
VID_66256,2025-03-23,Data Analytics,UK,15710.0,1814.9811609810572,130,4487,117,197,440.0788987563214,,2500.0,20.0
VID_76193,2024-08-08,Data Analytics,US,52587.0,4999.9668146352315,177,3232,270,12,102.97467012819496,TechNova,2500.0,20.0
VID_69957,2025-02-19,Tech Review,US,37372.0,2414.1267881811636,377,1613,351,152,570.3001625746906,,,
VID_91186,2024-03-26,Personal Finance,US,33079.0,2447.478956345516,467,961,445,93,381.2360929569205,NordVPN,1500.0,
VID_53275,2025-08-08,  tech review  ,India,75950.0,1719.6443527271354,172,1142,207,155,247.59111366628866,NordVPN,5000.0,15.0
VID_12233,2024-08-30,AI Tools,US,46530.0,4119.081134246495,417,1711,449,82,657.4080316161186,DataCamp,5000.0,15.0
VID_87909,2025-12-02,Data Analytics,US,42875.0,4730.269527803991,170,632,395,144,74.41140412917206,TechNova,5000.0,15.0
VID_19861,2024-04-10,Data Analytics,UK,55815.0,2065.1427911595174,281,592,93,134,743.3065320187069,n8n,,
VID_92643,2024-12-26,Data Analytics,US,71076.0,3913.4983960049826,295,3854,114,66,583.0794709639304,,5000.0,
VID_83739,2025-06-20,Tech Review,US,76302.0,2416.4745129961548,237,4978,293,113,727.4607235918585,,2500.0,20.0
VID_11334,2024-12-23,AI Tools,Australia,68095.0,2797.9136303189616,450,2370,374,143,631.6480677302358,,2500.0,20.0
VID_68974,2025-10-28,Personal Finance,US,47636.0,2342.692132135021,172,2033,487,151,202.70343641207066,DataCamp,,20.0
VID_77041,2024-07-01,Personal Finance,US,61015.0,1094.1778586740734,317,2958,304,75,749.9604310327093,NordVPN,5000.0,20.0
VID_76034,2025-12-29,Data Analytics,US,57529.0,2632.935671272995,413,3540,191,51,74.87550744047098,TechNova,,
VID_85106,2025-01-25,Coding,UK,22731.0,3426.7770837117896,205,3646,474,103,749.6165507387694,,5000.0,20.0
VID_19706,2025-04-21,Tech Review,US,31536.0,4742.787060378531,393,3580,368,149,526.0836570617244,,5000.0,20.0
VID_49793,2025-02-09,Coding,US,62290.0,4839.215753450205,384,1821,76,56,508.14790605431324,,,
VID_91495,2024-12-26,AI Tools,US,27800.0,4029.5743909397797,194,1451,455,70,67.1670045492632,,5000.0,20.0
VID_29345,2025-07-23,Data Analytics,US,41783.0,2392.7693056740727,335,1469,185,185,190.84403725556942,,1500.0,20.0
VID_43172,2025-05-12,Personal Finance,US,52572.0,1798.3011390186834,473,802,470,22,68.02131791854669,NordVPN,1500.0,20.0
VID_83698,2025-07-13,Data Analytics,US,64599.0,3148.4029191099735,480,2266,175,147,717.8319112274622,OpenClaw,2500.0,
VID_83494,2025-06-09,AI Tools,Australia,,1444.359873650023,345,4555,370,197,501.32191569067174,,5000.0,15.0
VID_31016,2025-07-12,AI Tools,Canada,60289.0,4197.419565843233,258,3568,289,93,425.6128256624994,,5000.0,20.0
VID_54048,2025-07-25,Coding,US,45417.0,3406.9731713202104,239,1023,477,21,786.3070953211363,DataCamp,,20.0
VID_35023,2024-10-06,Personal Finance,Australia,45237.0,3089.188336181931,338,4295,461,22,750.1412964138416,,2500.0,15.0
VID_40815,2025-01-17,AI Tools,US,68937.0,3887.0775662150263,460,3873,336,163,270.94292487130997,NordVPN,2500.0,20.0
VID_27205,2025-12-25,Personal Finance,Canada,37931.0,3335.8559853852744,307,1255,322,18,224.33959251659113,,2500.0,15.0
VID_13330,2024-04-11,Personal Finance,US,55246.0,2215.3416302896167,436,4092,396,193,541.7269931594474,,1500.0,
VID_46691,2025-02-25,Coding,US,56692.0,3085.1543209385522,312,1222,466,186,484.5459822493684,TechNova,,20.0
VID_64080,2024-06-17,Tech Review,US,66053.0,2241.7447854610327,332,3947,486,66,629.3650593996796,,1500.0,15.0
VID_20193,2025-11-03,Coding,US,54098.0,1964.6715462003062,133,2378,220,58,427.6977833889266,,5000.0,
VID_38211,2024-06-14,Data Analytics,UK,52556.0,1236.1767443873873,465,539,101,105,678.7029701651687,,,
VID_76846,2025-05-01,Personal Finance,US,53378.0,4241.319831856554,200,1108,226,73,273.5573903376337,TechNova,1500.0,15.0
VID_33888,2025-07-11,Data Analytics,US,54420.0,3299.1520652102977,160,1523,236,197,595.01872310071,,,20.0
VID_23786,2024-09-12,Personal Finance,US,58858.0,2161.8476608414558,370,1728,370,36,767.0672090814179,NordVPN,2500.0,15.0
VID_40268,2025-09-03,Tech Review,UK,36459.0,2880.024429155288,241,592,428,36,167.27873432723544,,1500.0,20.0
VID_94973,2025-01-17,AI Tools,US,39423.0,3907.72879641808,447,1213,345,131,653.7939818133076,,1500.0,15.0
VID_34879,2025-09-16,Coding,Australia,28094.0,3312.9328035578683,307,4522,61,16,421.2005864441066,,1500.0,
VID_19629,2025-05-07,Coding,US,47651.0,3202.176878751301,368,3152,315,72,575.3185639255142,TechNova,,
VID_86168,2025-02-04,AI Tools,Australia,40072.0,2275.8417404569213,194,2152,50,122,169.7062904914288,,,15.0
VID_54199,2024-04-28,Tech Review,US,22633.0,3519.0277294680877,129,4226,427,78,305.56951355327146,,5000.0,
VID_70070,2024-03-05,Data Analytics,UK,71566.0,1399.2900543995827,409,2473,95,173,648.927764541214,,,20.0
VID_88514,2024-01-09,Tech Review,US,54333.0,4227.339848540561,156,1919,213,154,155.27963572419281,NordVPN,2500.0,
VID_61124,2024-10-08,AI Tools,UK,40739.0,3440.7341219799578,417,2037,256,113,465.52263405096187,,1500.0,15.0
VID_69111,2025-02-19,Tech Review,US,61735.0,1431.2706006029644,444,1162,155,124,459.0105634408278,,2500.0,15.0
VID_40628,2024-05-03,Tech Review,Australia,38994.0,4138.597244978257,371,4209,55,95,106.53463589967353,DataCamp,5000.0,15.0
VID_66939,2025-11-03,Data Analytics,Canada,50735.0,4042.4202888780683,383,1907,132,26,686.5050931498837,TechNova,,
VID_62176,2025-05-22,Data Analytics,Australia,64645.0,3908.1843617984505,189,1238,103,98,66.61088233962235,NordVPN,,15.0
VID_45596,2025-02-23,Tech Review,Canada,41910.0,1584.0084899238645,448,3515,387,64,167.85468793377078,,5000.0,
VID_85682,2025-03-01,Coding,Canada,50107.0,4511.390855214178,328,4289,98,35,192.30762612044555,TechNova,5000.0,20.0
VID_48214,2025-08-16,Data Analytics,US,59860.0,1311.4218077228693,179,1309,442,56,604.8598097178531,,5000.0,15.0
VID_28711,2025-09-13,Data Analytics,UK,71634.0,1380.182852965825,317,1577,218,63,652.7103755557014,,1500.0,20.0
VID_75512,2024-11-26,Coding,US,49134.0,3697.194789610439,177,2432,399,153,584.2383598944384,,,
VID_24764,2025-05-26,AI Tools,US,58561.0,3471.4260350020736,314,2473,372,104,609.0864057742839,,5000.0,15.0
VID_36470,2025-12-27,Tech Review,US,60567.0,4297.901307289008,161,3909,162,137,237.8008035444277,,2500.0,20.0
VID_74280,2024-08-20,Coding,Canada,49023.0,3381.2337373812766,330,4367,360,51,747.387696988134,,2500.0,20.0
VID_69922,2025-10-29,Data Analytics,US,42544.0,1233.519171703437,308,4263,388,96,152.0781372677605,,,
VID_50784,2024-05-12,AI Tools,Australia,60598.0,3890.612472185822,235,3430,475,63,764.0349012542742,,2500.0,15.0
VID_88361,2024-05-25,Coding,US,47712.0,4328.346782804438,442,4248,423,33,106.46014038645156,TechNova,,20.0
VID_70574,2025-11-27,Coding,US,37918.0,4935.984103983054,164,3172,260,41,371.3316777876274,,,15.0
VID_49581,2025-07-24,Coding,UK,55767.0,4917.46704011057,360,2313,459,186,238.08874991802486,,2500.0,15.0
VID_93106,2024-03-19,Coding,US,54671.0,2031.0782563842183,132,2301,68,50,194.3650542328777,,,
VID_52324,2025-06-26,Personal Finance,US,41769.0,4224.699646559804,418,1098,466,81,581.5076308648415,,,20.0
VID_45087,2024-05-14,Data Analytics,UK,68509.0,2159.312900094262,452,4397,378,53,362.7081733266756,,1500.0,20.0
VID_76916,2024-01-01,AI Tools,US,41012.0,1410.188395054587,469,4018,130,144,668.3998291653627,,5000.0,
VID_97923,2024-04-29,Coding,US,49120.0,2420.064218052174,272,2767,122,27,248.81997600076787,,5000.0,20.0
VID_87500,2025-11-15,Tech Review,Canada,55427.0,3239.986216368144,448,3132,95,152,368.9751634545533,NordVPN,2500.0,
VID_55274,2024-08-23,AI Tools,US,71000.0,4322.859513522822,174,1530,142,190,736.2937732740141,,2500.0,20.0
VID_97362,2025-04-12,Personal Finance,Canada,57632.0,2983.4624563888583,367,4471,161,20,313.73254131113316,,,
VID_23092,2025-05-29,Coding,Canada,42442.0,3871.077843760031,285,709,180,10,650.0368039578894,,5000.0,
VID_17904,2024-01-27,Coding,UK,67532.0,4394.0519770115125,408,3121,58,106,406.47276373761434,,2500.0,20.0
VID_26856,2025-01-31,AI Tools,US,39853.0,3440.8489966691864,331,1284,436,33,263.16465861366265,,2500.0,15.0
VID_84744,2024-03-22,Tech Review,Australia,,4801.032804968728,126,3471,398,100,719.8834904147427,,1500.0,
VID_31933,2025-11-24,Data Analytics,Australia,33899.0,3674.380204839284,454,1711,409,156,552.6850381051397,,,
VID_32568,2025-12-28,Personal Finance,US,50043.0,3151.7786056663963,354,3098,409,53,167.82568009636947,,2500.0,15.0
VID_64782,2025-12-07,Tech Review,US,54093.0,3593.924371173377,234,3599,415,54,446.39247421634735,,5000.0,20.0
VID_83210,2025-01-10,Personal Finance,US,51664.0,2251.250758173729,376,4339,268,187,626.6384195298599,,,15.0
VID_71914,2024-04-15,Data Analytics,US,80455.0,1578.8104212252124,355,1954,76,81,309.42731068646617,NordVPN,,
VID_33673,2024-01-09,Tech Review,India,64874.0,2541.9565644983772,210,1650,72,176,103.65720462283907,,2500.0,15.0
VID_80687,2025-02-03,Tech Review,US,68255.0,3674.878550686998,209,2999,90,106,59.81997970323253,DataCamp,1500.0,15.0
VID_91283,2025-08-02,Personal Finance,US,51988.0,2524.0845027989726,434,848,448,69,721.7921645021356,,2500.0,20.0
VID_12513,2024-10-28,Data Analytics,Australia,25516.0,4499.070379684557,321,3516,441,67,784.8956333649481,,5000.0,
VID_83746,2025-08-28,Coding,India,37944.0,2433.012755978952,268,3148,372,34,427.7302021403251,,,20.0
VID_51951,2024-05-21,Tech Review,Australia,56184.0,2467.9663928187274,456,3575,488,36,730.6993969914654,TechNova,5000.0,
VID_54187,2024-02-19,Tech Review,US,59138.0,2344.32524099705,303,1489,120,191,649.6443617315398,,,15.0
VID_19284,2024-06-03,Coding,Australia,49128.0,2449.0113287495565,193,3298,203,13,637.4737299215336,,5000.0,
VID_22327,2025-07-20,Tech Review,US,34328.0,2594.6288930838427,170,2551,341,39,701.6388344195158,TechNova,1500.0,20.0
VID_54625,2025-11-29,Coding,US,28398.0,1033.9773057341563,216,4275,147,102,87.56114843747513,TechNova,2500.0,15.0
VID_28884,2025-01-10,AI Tools,Canada,26354.0,4746.696414629063,361,2358,276,125,743.6395850020317,TechNova,1500.0,15.0
VID_95101,2025-10-06,Tech Review,US,46832.0,3584.4348484760335,148,2516,496,197,651.1145996411265,,2500.0,
VID_23953,2024-03-06,Coding,India,53769.0,1803.4397103967908,319,3070,136,154,256.1152958749352,,,15.0
VID_51641,2025-10-30,AI Tools,US,64805.0,4116.990204525537,325,1651,378,84,725.916408034518,DataCamp,5000.0,20.0
VID_49153,2025-01-15,Coding,India,31310.0,3720.5724740662145,215,1129,177,170,531.770186383645,,1500.0,15.0
VID_87037,2025-11-09,Data Analytics,India,43573.0,4945.2987586556865,409,2124,314,81,751.5723874141698,,1500.0,
VID_96762,2025-04-17,Coding,US,44412.0,4929.347796632896,368,3850,97,137,769.1207708571764,TechNova,,
VID_53962,2024-04-30,AI Tools,US,73385.0,3186.9777168645655,219,4295,395,54,181.23707692730815,TechNova,1500.0,15.0
VID_38355,2024-02-22,Tech Review,US,57046.0,4090.7602279044786,221,2565,253,190,73.94276229600072,,,15.0
VID_80206,2025-08-10,Personal Finance,US,48310.0,2138.99569742573,195,4117,375,102,745.5634734314866,,1500.0,15.0
VID_69395,2024-09-01,Data Analytics,US,54486.0,4231.773926257611,421,528,389,22,102.42619800428075,,2500.0,20.0
VID_64606,2024-09-05,Personal Finance,US,46541.0,4956.463209756914,400,2152,205,84,293.42253994604835,,2500.0,15.0
VID_81959,2025-10-24,Tech Review,US,55282.0,2030.7999496016987,189,3392,483,163,614.1462795431601,,1500.0,20.0
VID_89674,2024-06-12,Coding,US,43034.0,1519.2730554019831,312,4524,115,81,57.69802762982155,,,
